          0          1          2          3          4          5          6          7          8          9          10        11        12         13         14         15         16         17         18         19         20        21         22         23         24         25         26
0  11.908692  19.345438  40.915258  40.412061   8.540777  13.543664   0.725963  40.722736  39.739613  19.199040  35.776645  1.630269  1.178962   3.024642   5.590163  40.781502  40.129782   1.166979  38.361946   8.510004  30.715468  1.206703  25.807315  41.318311  40.850667   0.434019  20.581527
1  23.131622  22.043922  35.754118  34.720467  16.101845  23.918037  13.978072  37.843209  36.596924  21.998190  34.537103  2.783934  2.512254  29.995932  21.937782  36.910481  37.018570  39.121241  25.379659  16.068572  12.924295  1.710045  13.223290  27.875588  28.156317  29.525689  22.564775
2   6.689626  17.223377   1.268707   0.904907   8.184395   9.236423   0.452171   2.141327   1.298209  17.321890  32.033667  1.244615  1.077604   1.552495   4.040152   1.284111   1.194562   0.943637   1.497878   8.169237  12.665859  0.896050   0.310418   0.391859   0.359694   0.924009  20.397203
3  12.480657  18.772870   7.456960   8.510581   8.184236  14.464469   0.814577   7.620322   7.326156  18.768492  33.757900  1.203444  0.732147   3.818669   2.848649   8.247235  10.128181  18.378351   4.351642   8.207784  14.655679  0.819370   0.866011   3.080749   4.388514  11.048016  20.085879
4   9.308650  17.315623   2.171403   2.094459   8.113676  11.608629   0.545413   4.148184   2.979443  17.227467   3.072216  2.031281  1.203925   2.421018   2.193406   1.793583   2.567924   1.572686   1.061929   8.100494   1.779832  1.118229   0.277343   0.801802   0.951989   4.122660  20.169183
5  12.419801  19.561660  16.414521  16.738161   8.579140  14.818808   0.919471  13.532656  11.264301  19.418716   0.061211  0.167200  0.201443   3.494362   6.755770  19.234382  19.133204   1.447089   7.865293   8.559369   0.034239  0.159858   9.188388  15.505001  12.558667   0.403567  20.632970
6  40.893385  19.397470  41.124476  41.194421  40.517719  40.896463  37.567947  40.986967  41.279356  19.257795  39.279496  0.849344  2.039966  37.467062  39.079930  41.021873  40.963090   0.991357  36.037066  40.435587  38.126991  0.921115  27.368154  41.378992  41.130883   0.430181  40.792502
7  15.620536  20.978272  19.956215  19.753530   8.399421  16.628863   1.496584  20.269708  22.065742  21.063084  30.479327  4.505303  3.879002   7.633707   3.604664  23.423624  23.259720   2.085375  15.435929   8.381203  15.489679  2.209917   2.355790  15.849600  16.786315  24.055329  20.330969
8  21.092384  25.494385  35.521481  35.288866  17.767553  20.365982  15.039934  34.696813  33.425182  25.395309  33.333804  2.299153  0.421341  25.060279  21.901707  39.006148  39.218828   0.867755  31.665419  17.900843  10.476949  1.562990  30.694945  39.827867  40.180266   0.625947  23.806611
9  12.205956  19.306558  39.273810  39.100362   8.556108  14.212804   0.783888  14.926352  14.037558  19.348342  32.762016  2.395569  1.984787   2.448703   4.210864  12.599561  14.779754   1.720813   5.828587   8.473060  14.686527  1.877967  21.391985  38.283877  38.356224   0.911385  20.411056
