 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
0 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
1 1.000000000000000272e-200 1.000000000000000000e+00 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200 1.000000000000000272e-200
2 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
3 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 1.000000000000000000e+00 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201 9.999999999999996920e-201
4 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000000e+00 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200 1.000000000000000127e-200
5 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
6 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
7 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
8 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
9 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 1.000000000000000000e+00 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201 9.999999999999999821e-201
