          0         1         2         3         4         5         6         7         8         9          10        11        12        13        14        15        16        17        18        19         20        21        22        23        24        25        26
0   1.399140 -1.487112  2.420989  2.203825 -0.031663  1.465032  0.022463  2.894485  2.844002 -1.496639   0.139594  0.036582  0.163229  0.515309  0.876307  0.484097  0.740665 -0.353473  1.584637  0.039576   0.006295  0.011840  0.376990 -0.057502 -0.046556  0.010677 -0.044247
1   0.261773 -0.280523  0.017672 -0.401945  0.060030  0.291093  0.134413  0.117877 -0.154615 -0.327547  -0.026188  0.122450  0.028622  0.920104  0.668785  2.202975  2.061046  0.736406  1.733048  0.068173   0.019308 -0.022359  0.287603 -0.075735 -0.135485  0.033037 -0.004857
2  -0.028932  0.327365 -0.231765 -0.145418  0.003141 -0.030324 -0.009997 -0.287334 -0.192585  0.327979  -0.054777 -0.180219 -0.229438 -0.498101 -0.507149 -0.403233 -0.402655 -0.653728 -0.469457 -0.006478  -0.001404  0.023425  0.004682 -0.000796  0.000813 -0.006833  0.006338
3  -0.541947  0.392366 -0.237295 -0.341330  0.017445 -0.569318 -0.011057 -0.313802 -0.452590  0.394954  -0.092667  2.537878 -0.032202 -0.349619 -0.423395 -0.322481 -0.341487  0.035832 -0.383184 -0.022924  -0.008209 -2.356023  0.001214 -0.003112  0.000314 -0.055069  0.025424
4  -0.157165 -1.932065 -0.426746 -0.336274  0.033589 -0.148550  0.026953 -0.513497 -0.445711 -1.941547  -0.141321 -0.280733  0.225673  0.180282  0.097396 -0.175838 -0.244905 -0.018561 -0.354323 -0.006482  -0.001127 -0.016331  0.003489 -0.007771  0.004775 -0.024664  0.023119
5  -0.919440  1.318281 -0.419043 -0.385545  0.053772 -0.965103  0.020008 -0.521665 -0.505222  1.320917  -0.182494 -0.095973  0.222129 -0.441761 -0.507530 -0.437497 -0.445819  0.892145 -0.444130  0.006484  -0.001378  0.031847  0.007615  0.008219 -0.005178  0.052622  0.029915
6  -1.159004 -0.332770 -0.456425 -0.388765  0.010221 -1.224688 -0.020764 -0.564714 -0.517824 -0.334590  -0.217396 -0.526686 -0.352861 -0.781857 -0.836781 -0.530780 -0.525954  0.453841 -0.591449 -0.010532  -0.003247  0.024087  0.006946 -0.000986  0.001591 -0.055217  0.013179
7   0.691988 -0.613701 -1.377817  1.919342 -0.078008  0.692154 -0.203333  0.465721  0.511682 -0.621207  -0.033082  0.305884  0.175849  1.176251  1.005486  2.544499  2.480899  0.633249  1.753156  0.017018   0.022605  0.106599  0.326523 -3.870486  3.603114  0.221013 -0.059096
8   0.942455 -1.005975  2.088703  2.182417  0.465455  1.175995  1.090432  1.922882  1.909588 -0.855547   0.027227  0.258411  0.147314  1.643137  1.303972  1.866811  2.049605  0.490503  2.289155 -0.104722  -0.084496 -0.120930 -2.089428  0.915362  0.555579  0.082976  0.356159
9  -0.227147  1.259054 -0.454738 -0.400449 -0.232873 -0.366115 -0.574014 -0.512239 -0.478446  1.249232  11.621704  1.513054  1.307911  0.413417  0.155882 -0.375128 -0.389043  0.786588 -0.222035 -0.012547  16.576708  0.498693  0.042072  0.000535 -0.000220  0.113099 -0.137317
10  0.445303  0.122997 -0.309744 -0.280511 -0.679076  0.698894 -2.724009 -0.238882 -0.277499  0.101495  -0.058838  0.228720  0.365878  2.310664  1.152342  0.511781  0.367386  0.675246  0.407446 -1.179041   0.019684  0.003112  0.087057 -0.005274 -0.108462  0.015189  0.312299
11 -0.199464  0.208901 -0.403891 -0.331762  0.092983 -0.309615 -0.143373 -0.342562 -0.417386  0.181616  11.636935  0.239372  0.508034  0.421522  0.380151 -0.065939 -0.061209  0.437410  0.227959  0.359909 -16.394336 -0.075568  0.331318 -0.265208  0.058098  0.413121 -0.166398
12 -1.032528  0.296121 -0.442170 -0.371144 -0.149155 -1.068213  0.016808 -0.549423 -0.509515  0.298144  -0.152488 -0.045566 -0.012628 -0.382327 -0.460472 -0.433246 -0.437519  1.333062 -0.476351 -0.085944  -0.000606 -0.050179  0.006864 -0.007965  0.011587 -3.654209 -0.039239
13 -0.690230  0.666803 -0.341339 -0.276438  0.044407 -0.711906  0.027498 -0.415136 -0.371780  0.668049  -0.104629  2.473860  2.396149 -0.253694 -0.382800 -0.257201 -0.269496  0.391522 -0.260838  0.031556   0.012386  2.233941  0.004273  0.008984 -0.010789 -0.088789  0.008247
14 -1.033411  0.266913 -0.456328 -0.382138 -0.138912 -1.082294  0.038804 -0.564566 -0.506621  0.265118  -0.196111 -0.147824  0.097246 -0.373394 -0.440216 -0.429900 -0.436220  1.381033 -0.455045 -0.067711  -0.000268 -0.003810  0.025501  0.003024 -0.005451  3.727993 -0.044225
15 -0.592412  0.621337 -0.379693 -0.410826  0.033910 -0.576306  0.001402 -0.478575 -0.505911  0.622378   8.671560  0.741827  0.488051  0.455403  0.324068 -0.393500 -0.387447  0.995228 -0.270788 -0.112509  -0.118359  0.054100  0.042510 -0.009345 -0.013165  0.327781  0.091624
16  1.383214  0.054540  0.306373  0.164564 -0.197871  1.337034  0.309175  0.369804  0.197755  0.054289  -0.108392 -0.072128  0.011104  0.674621  1.074847 -0.091093 -0.134327 -0.474192  0.058593  0.487039  -0.002599  0.016018 -0.011695  0.010941  0.004035  0.005272 -0.427804
17  0.933148 -0.101267  0.539319  0.359142  2.113176  1.416243  0.379629  0.667989  0.485872 -0.108340  -0.086693  0.087971  0.081278  1.199690  1.830267  0.237215  0.209141 -0.263546  0.431207 -1.850554  -0.015965  0.000692  0.122292  0.010909 -0.027154 -0.001617  2.474567
18  0.636569 -0.647893  2.106934 -2.281121  0.071881  0.710572 -0.350054  0.703040  0.114913 -0.637793  -0.019295  0.213088  0.114002  1.107863  0.939957  2.416824  2.604876  0.628062  1.814922 -0.101276   0.037075  0.078526  0.039412  3.897987 -4.721470 -0.163860  0.108316
19  2.101248 -0.242905  0.538064  0.429338 -2.486033  1.463508  0.169573  0.738529  0.661380 -0.252148  -0.061495  0.118446  0.146749  1.430939  2.001454  0.467406  0.402779 -0.172211  0.692209  2.579854  -0.028094  0.003450  0.128040 -0.060680 -0.048474 -0.000841 -3.162130
