          0         1         2         3         4         5         6         7         8         9          10        11        12        13        14        15        16        17        18        19         20        21        22        23            24        25        26
0  -0.018160 -0.166274  0.130277 -0.433068  0.050888  0.100050 -0.033427  0.006128 -0.368859 -0.110671  -0.079802  0.687706  0.333802  0.849288  0.630686  1.641974  1.504913  1.016810  1.092917 -0.056194   0.005537  0.246720 -0.232765  0.102595 -4.126591e-02 -0.156164  0.067070
1  -1.223137  0.085739 -0.456648 -0.400667 -0.000091 -1.302991 -0.000436 -0.565775 -0.533137  0.085754  -0.254981 -0.213257 -0.111209 -0.920104 -0.964603 -0.539137 -0.534670  0.505803 -0.576526  0.000158  -0.002376 -0.012858  0.005515  0.000002  6.735578e-06 -0.024973  0.000171
2  -0.460764  0.694584 -0.445516 -0.402212 -0.013915 -0.484985 -0.057116 -0.551970 -0.535205  0.696562  -0.205849  0.045015  0.202926  0.243980  0.111797 -0.540681 -0.536140  0.561557 -0.542239 -0.017779   0.001642 -0.013364  0.008397  0.000008  7.232597e-07  0.036973  0.002635
3   1.285062 -1.469844  2.644080  2.302208  0.006511  1.363967  0.047083  3.110708  3.031802 -1.454391   0.220824 -0.029298  0.087996  0.304769  0.765578  0.414498  0.605927 -0.540201  1.652698  0.009993  -0.031054  0.049373 -0.006677  0.005382 -1.912651e-02  0.020410 -0.001949
4   1.649240 -0.460403  1.121117  1.052444 -0.019528  1.704979  0.142702  1.342583  1.383076 -0.458066  -0.083901  0.362493  0.390286  0.646499  1.441976 -0.023732 -0.015758 -0.560384  0.492881  0.046407   0.011843  0.044693 -0.017991 -0.004950  2.970099e-03 -0.047375 -0.040936
5  -0.227147  1.259054 -0.454738 -0.400449 -0.232873 -0.366115 -0.574014 -0.512239 -0.478446  1.249232  11.621704  1.513054  1.307911  0.413417  0.155882 -0.375128 -0.389043  0.786588 -0.222035 -0.012547  16.576708  0.498693  0.042072  0.000535 -2.204298e-04  0.113099 -0.137317
6   1.334444 -0.822187  1.826456  1.914911  0.525035  1.444428  0.910063  1.910810  1.850883 -0.754355  -0.006691  0.338207  0.068843  1.783520  1.538658  1.169852  1.583015  0.608689  1.706583  0.393646  -0.070272 -0.174438 -0.201366  0.003135  2.177382e-03  0.059103  0.082256
7  -0.507217 -0.702237 -0.485040 -0.407038 -0.062944 -0.510769 -0.255540 -0.601140 -0.541511 -0.706260   0.887923  0.195341  0.194734  0.044511 -0.090006 -0.532405 -0.528579  0.362736 -0.491313 -0.064755   0.011794  0.028882  0.020655  0.000099 -5.345450e-05  0.025481  0.001352
8  -0.199464  0.208901 -0.403891 -0.331762  0.092983 -0.309615 -0.143373 -0.342562 -0.417386  0.181616  11.636935  0.239372  0.508034  0.421522  0.380151 -0.065939 -0.061209  0.437410  0.227959  0.359909 -16.394336 -0.075568  0.331318 -0.265208  5.809841e-02  0.413121 -0.166398
9  -0.000513  0.225649 -0.222906 -0.116951 -0.006942 -0.004942 -0.008991 -0.275207 -0.156746  0.225638  -0.040662 -0.167266  0.771719 -0.469269 -0.436071 -0.398425 -0.397987 -0.298289 -0.465321  0.001003  -0.002215  0.023758  0.006743 -0.002590  2.547585e-03  0.000799 -0.004736
