,day,t,rh,ws,wd,r,h,l1,l2,l3,l4,l5,l6,l7,lp,t2,tmv,tm,tm2,tmy,tmy2
762,2016-02-08 18:00:00,9.8325,90.0,1.5,6.0,0.0,0.0,11.128330343447807,20.088682831065775,18.375819087044125,21.30327747158341,21.195649085004337,17.410646298980573,19.711486311089576,25.474356472168,96.67805625,7.951391869822472,11.03,121.66089999999998,10.7525,115.61625625
763,2016-02-08 19:00:00,9.594167,93.0,2.0,1.0,0.0,0.0,17.098964093023042,17.785334251706733,18.66947513221532,20.486043439919765,19.724359085004675,18.58410270966338,19.1731677327254,25.474356472168,92.048040423889,7.953724218934897,11.03,121.66089999999998,10.7525,115.61625625
764,2016-02-08 20:00:00,8.970834,100.0,1.0,9.0,0.0,0.0,17.293097185848687,18.73667726072101,19.02701783820457,21.164954010880944,19.76920125308173,17.5331220944716,19.786846130043237,25.474356472168,80.475862655556,7.954661106508862,11.03,121.66089999999998,10.7525,115.61625625
765,2016-02-08 21:00:00,8.756667,100.0,2.0,6.0,0.0,0.0,16.909382343707126,16.41680471189139,17.430399387454994,19.75252587276968,15.240529147301991,15.154927888556767,16.969534009012683,25.474356472168,76.67921694888899,7.957136449704128,11.03,121.66089999999998,10.7525,115.61625625
766,2016-02-08 22:00:00,8.656668,100.0,2.0,5.0,0.0,0.0,8.857618879512778,11.309108077880481,12.548721647579848,13.703959431310432,11.036752558826802,11.187958474534264,12.367358384471064,25.474356472168,74.937900862224,7.961672946745548,11.03,121.66089999999998,10.7525,115.61625625
767,2016-02-08 23:00:00,8.774576,100.0,2.5,4.0,0.0,0.0,8.106674066068901,8.571861352694503,8.673990117418859,11.5246809411046,9.34433821329928,8.355804094042707,8.782362618267173,25.474356472168,76.99318397977598,7.971271029585784,11.03,121.66089999999998,10.7525,115.61625625
768,2016-02-09 00:00:00,8.608334,93.0,2.5,4.0,0.0,0.0,8.031057683269925,7.729133486918746,8.076412857340037,11.133656513032422,9.166476567285487,7.871415996887864,8.471681024352323,29.89206935884389,74.10341425555599,7.982026390532532,10.475,109.725625,11.03,121.66089999999998
769,2016-02-09 01:00:00,8.236667,100.0,1.0,1.0,0.0,0.0,9.346016081016561,8.363084368814247,8.034601490494474,12.24094521461959,9.87955894034408,7.966510405122096,10.21372931634725,29.89206935884389,67.842683268889,7.9945263964496895,10.475,109.725625,11.03,121.66089999999998
770,2016-02-09 02:00:00,7.550833,100.0,2.0,2.0,0.0,0.0,9.150002322248566,8.426815364452063,8.47331532238159,12.967349043294881,10.447886524502144,8.116057241739009,10.943959010790326,29.89206935884389,57.015078993889,8.003885366863889,10.475,109.725625,11.03,121.66089999999998
771,2016-02-09 03:00:00,7.568333,100.0,2.0,3.0,0.0,0.0,9.503578189360693,9.17770144225846,11.008385860150835,13.428137783117958,12.125211049383328,10.412701958341088,12.235271323875999,29.89206935884389,57.279664398889,8.014486940828387,10.475,109.725625,11.03,121.66089999999998
772,2016-02-09 04:00:00,7.368333,100.0,2.0,5.0,0.0,0.0,11.83668604932268,9.822823607759416,13.510557345371664,19.32967387832469,16.189523930403432,11.813885438434694,13.166312245151815,29.89206935884389,54.292331198888995,8.024743349112411,10.475,109.725625,11.03,121.66089999999998
773,2016-02-09 05:00:00,7.541666999999999,100.0,2.0,7.0,0.0,0.0,23.6106857256409,13.627791379394564,28.252052535549,30.39778744748734,28.066500741158517,19.3792701281026,23.068770091785694,29.89206935884389,56.876741138888995,8.038421852070991,10.475,109.725625,11.03,121.66089999999998
774,2016-02-09 06:00:00,7.920833999999998,96.5,1.0,9.0,0.0,0.0,29.89206935884389,25.474356472168,30.60362626644111,37.0389418696036,32.75339371919879,21.725674583427807,25.34730234829382,29.89206935884389,62.739611255556,8.052716727810633,10.475,109.725625,11.03,121.66089999999998
775,2016-02-09 07:00:00,8.173333,93.0,2.0,7.0,0.0,0.0,26.638612022353268,19.52504245600148,28.915792056670217,34.55144362974501,28.825668855021,22.515160678923998,28.654650830992217,29.89206935884389,66.803372328889,8.065926781065071,10.475,109.725625,11.03,121.66089999999998
776,2016-02-09 08:00:00,8.139167,100.0,2.0,7.0,0.0,0.0,24.29662277980001,17.573197214075684,28.335443684776845,30.651035658381762,27.625835942133516,21.726535953177045,26.46604030605721,29.89206935884389,66.24603945388901,8.078017514792883,10.475,109.725625,11.03,121.66089999999998
777,2016-02-09 09:00:00,8.42,96.5,2.0,7.0,0.0,0.0,18.32832632215437,15.290853849361007,21.96586520094399,23.909683523411246,22.41127031693122,19.53324211985687,22.651082828128157,29.89206935884389,70.8964,8.087978065088741,10.475,109.725625,11.03,121.66089999999998
778,2016-02-09 10:00:00,8.920834,93.0,1.0,9.0,0.0,0.0,18.744500886014126,14.288808808584676,19.697811575460783,20.54315805357653,20.45175765896725,20.31555232262552,21.169029876475282,29.89206935884389,79.58127925555598,8.097780828402351,10.475,109.725625,11.03,121.66089999999998
779,2016-02-09 11:00:00,9.704167,94.0,1.0,9.0,0.0,0.0,27.100055935917087,18.32034712991782,22.20780468152361,24.318693697743587,27.003064286780173,23.90554017906703,26.35277377607881,29.89206935884389,94.17085716388901,8.107519491124245,10.475,109.725625,11.03,121.66089999999998
780,2016-02-09 12:00:00,9.863334,94.0,2.0,7.0,0.0,0.0,20.69924339746773,15.238590886037096,17.41139059103253,19.40890475710961,25.03206188918444,21.43249970865216,22.031625945107287,29.89206935884389,97.285357595556,8.11188833136093,10.475,109.725625,11.03,121.66089999999998
781,2016-02-09 13:00:00,10.475,82.0,2.5,7.0,0.0,0.0,18.27707258241612,14.465481397969079,15.88810401517992,17.308827253489994,22.76636722644967,20.42750908500432,21.35520886283391,29.89206935884389,109.725625,8.114343952662706,10.475,109.725625,11.03,121.66089999999998
782,2016-02-09 14:00:00,10.335,88.0,2.0,7.0,0.0,0.0,20.026708834741626,15.16150162898236,17.1920748156795,17.722590103812422,21.210002627627482,19.666371050322407,20.57259262688629,29.89206935884389,106.812225,8.11496933727809,10.475,109.725625,11.03,121.66089999999998
783,2016-02-09 15:00:00,10.08417,90.5,2.5,7.0,0.0,0.0,17.761739930032135,18.48102191679348,17.749990878533787,17.28164650222783,19.892543210212605,18.715612199538914,19.76042006628717,29.89206935884389,101.69048458889999,8.116044301775132,10.475,109.725625,11.03,121.66089999999998
784,2016-02-09 16:00:00,10.40083,90.5,2.0,7.0,0.0,0.0,18.60659871139955,14.469884709161208,18.677116873730782,17.690705728135843,18.913590596434116,19.614966872454342,18.952644622793148,29.89206935884389,108.1772646889,8.118997928994068,10.475,109.725625,11.03,121.66089999999998
785,2016-02-09 17:00:00,10.03667,94.0,3.0,0.0,1.0,0.0,19.52606830170821,15.50821051511025,18.357929401712664,17.794148859691624,20.680847170730953,16.584059645639254,20.58011516267355,29.89206935884389,100.7347446889,8.122020455621287,10.475,109.725625,11.03,121.66089999999998
786,2016-02-09 18:00:00,9.900001,94.0,3.5,3.0,2.0,0.0,18.8434720392822,11.128330343447807,20.088682831065775,18.375819087044125,21.30327747158341,21.195649085004337,17.410646298980573,29.89206935884389,98.01001980000099,8.125718680473357,10.475,109.725625,11.03,121.66089999999998
787,2016-02-09 19:00:00,9.950001,94.0,4.0,6.0,1.0,0.0,19.864275294315398,17.098964093023042,17.785334251706733,18.66947513221532,20.486043439919765,19.724359085004675,18.58410270966338,29.89206935884389,99.00251990000099,8.130753201183415,10.475,109.725625,11.03,121.66089999999998
788,2016-02-09 20:00:00,9.910001,94.0,5.0,6.0,2.0,0.0,17.07124335840402,17.293097185848687,18.73667726072101,19.02701783820457,21.164954010880944,19.76920125308173,17.5331220944716,29.89206935884389,98.20811982000099,8.135767999999983,10.475,109.725625,11.03,121.66089999999998
789,2016-02-09 21:00:00,9.807501,94.0,5.0,6.0,2.0,0.0,15.908876154743151,16.909382343707126,16.41680471189139,17.430399387454994,19.75252587276968,15.240529147301991,15.154927888556767,29.89206935884389,96.18707586500099,8.141078650887557,10.475,109.725625,11.03,121.66089999999998
790,2016-02-09 22:00:00,9.941668,94.0,5.0,7.0,1.0,0.0,10.458246510713874,8.857618879512778,11.309108077880481,12.548721647579848,13.703959431310432,11.036752558826802,11.187958474534264,29.89206935884389,98.836762622224,8.148282798816549,10.475,109.725625,11.03,121.66089999999998
791,2016-02-09 23:00:00,9.785594,91.0,4.5,6.0,0.0,0.0,8.240797710173572,8.106674066068901,8.571861352694503,8.673990117418859,11.5246809411046,9.34433821329928,8.355804094042707,29.89206935884389,95.757849932836,8.154987491124242,10.475,109.725625,11.03,121.66089999999998
792,2016-02-10 00:00:00,9.489167,94.0,2.0,3.0,1.0,0.0,7.180896575978173,8.031057683269925,7.729133486918746,8.076412857340037,11.133656513032422,9.166476567285487,7.871415996887864,27.3101080362957,90.04429035388901,8.160178627218915,13.70536,187.83689272959998,10.475,109.725625
793,2016-02-10 01:00:00,8.863334,96.5,2.5,4.0,0.0,0.0,8.197119431806438,9.346016081016561,8.363084368814247,8.034601490494474,12.24094521461959,9.87955894034408,7.966510405122096,27.3101080362957,78.558689595556,8.1624024970414,13.70536,187.83689272959998,10.475,109.725625
794,2016-02-10 02:00:00,8.518334,93.0,4.0,3.0,0.0,0.0,10.13460467950283,9.150002322248566,8.426815364452063,8.47331532238159,12.967349043294881,10.447886524502144,8.116057241739009,27.3101080362957,72.56201413555598,8.163295005917139,13.70536,187.83689272959998,10.475,109.725625
