Parameter,Values
Dataset Path,/home/francesco/Tirocinio/XM_v1.3.5/DATASETS/Pearsons/dataset_pearson.csv
Results Path,/home/francesco/Tirocinio/XM_v1.3.5/RESULTS/Parsons/SpectralClustering
Number of columns,3
Number of rows,400
Method,Spectral Clustering
N. Cluster,4
Accuracy,0.4775
CE,0.4775
F1,0.41563233200605687
Entropy,0.31128762109497676
Purity,0.5624495613223264
NbClusterFound,4
Note,-
Variables,a,b,c
Silhouette total,0.242569623544
0.342,119,3
0.634,14,3
0.521,40,3
0.117,227,3
